,kics,dnus
854,KIC3228219,-inf
855,KIC3228689,-inf
856,KIC3228728,-inf
857,KIC3228742,-inf
858,KIC3228985,-inf
859,KIC3229705,-inf
860,KIC3230401,-inf
861,KIC3230719,-inf
862,KIC3231189,-inf
863,KIC3231208,-inf
864,KIC3231503,-inf
865,KIC3232021,-inf
866,KIC3232277,-inf
867,KIC3232285,-inf
868,KIC3232397,-inf
869,KIC3232412,-inf
870,KIC3232488,-inf
871,KIC3232643,-inf
872,KIC3232810,-inf
873,KIC3232813,-inf
874,KIC3232838,-inf
875,KIC3233508,-inf
876,KIC3233647,-inf
877,KIC3233863,-inf
878,KIC3233980,-inf
879,KIC3234175,-inf
880,KIC3234311,-inf
881,KIC3234396,-inf
882,KIC3234597,-inf
883,KIC3234655,-inf
884,KIC3234666,-inf
885,KIC3234703,-inf
886,KIC3234726,-inf
887,KIC3235216,-inf
888,KIC3235616,-inf
889,KIC3235687,-inf
890,KIC3236108,-inf
891,KIC3236361,-inf
892,KIC3236379,-inf
893,KIC3236455,-inf
894,KIC3237572,-inf
895,KIC3238303,-inf
896,KIC3238626,-inf
897,KIC3238859,-inf
898,KIC3238956,-inf
899,KIC3239099,-inf
900,KIC3239204,-inf
901,KIC3239348,-inf
902,KIC3239663,-inf
903,KIC3239707,-inf
904,KIC3240111,-inf
905,KIC3240119,-inf
906,KIC3240280,-inf
907,KIC3240365,-inf
908,KIC3240573,-inf
909,KIC3240670,-inf
910,KIC3240734,-inf
911,KIC3240866,-inf
912,KIC3240882,-inf
913,KIC3241101,-inf
914,KIC3241329,-inf
915,KIC3241374,-inf
916,KIC3241484,-inf
917,KIC3241529,-inf
918,KIC3241822,-inf
919,KIC3241947,-inf
920,KIC3242122,-inf
921,KIC3242233,-inf
922,KIC3242324,-inf
923,KIC3245449,-inf
924,KIC3245721,-inf
925,KIC3246211,-inf
926,KIC3247016,-inf
927,KIC3247146,-inf
928,KIC3247334,-inf
929,KIC3247531,-inf
930,KIC3247570,-inf
931,KIC3248697,-inf
932,KIC3248820,-inf
933,KIC3248982,-inf
934,KIC3323401,-inf
935,KIC3323905,-inf
936,KIC3323943,-inf
937,KIC3324186,-inf
938,KIC3324929,-inf
939,KIC3325179,-inf
940,KIC3325420,-inf
941,KIC3326233,-inf
942,KIC3326392,-inf
943,KIC3326775,-inf
944,KIC3326790,-inf
945,KIC3327006,-inf
946,KIC3327710,-inf
947,KIC3328398,-inf
948,KIC3328620,-inf
949,KIC3330820,-inf
950,KIC3331116,-inf
951,KIC3331352,-inf
952,KIC3335197,-inf
953,KIC3335660,-inf
954,KIC3336055,-inf
955,KIC3336140,-inf
956,KIC3336731,-inf
957,KIC3337029,-inf
958,KIC3337065,-inf
959,KIC3337102,-inf
960,KIC3337400,-inf
961,KIC3337536,-inf
962,KIC3337581,-inf
963,KIC3337589,-inf
964,KIC3337740,-inf
965,KIC3338252,-inf
966,KIC3338464,-inf
967,KIC3339203,-inf
968,KIC3339443,-inf
969,KIC3339519,-inf
970,KIC3339762,-inf
971,KIC3339805,-inf
972,KIC3339894,-inf
973,KIC3339951,-inf
974,KIC3340462,-inf
975,KIC3341037,-inf
976,KIC3341327,-inf
977,KIC3341413,-inf
978,KIC3341498,-inf
979,KIC3342429,-inf
980,KIC3342553,-inf
981,KIC3342658,-inf
982,KIC3342987,-inf
983,KIC3343166,-inf
984,KIC3343186,-inf
985,KIC3343372,-inf
986,KIC3343621,-inf
987,KIC3343630,-inf
988,KIC3343931,-inf
989,KIC3344050,-inf
990,KIC3344365,-inf
991,KIC3344409,-inf
992,KIC3345441,-inf
993,KIC3345830,-inf
994,KIC3346227,-inf
995,KIC3346284,-inf
996,KIC3346398,-inf
997,KIC3346501,-inf
998,KIC3346725,-inf
999,KIC3346779,-inf
1000,KIC3346788,-inf
1001,KIC3346914,-inf
1002,KIC3347054,-inf
1003,KIC3347110,-inf
1004,KIC3347135,-inf
1005,KIC3347286,-inf
