KIC,Kpmag,QLen,DLen,numax,e_numax,Delnu,e_Delnu,A,e_A,Width,e_Width,Gran,e_Gran,Teff,e_Teff,log(g),e_log(g),[Fe/H],e_[Fe/H],NoCorM,e_NoCorM,NoCorR,e_NoCorR,RGBcorM,e_RGBcorM,RGBcorR,e_RGBcorR,ClcorM,e_ClcorM,ClcorR,e_ClcorR,Phase,dnu_acf
2697907,13.29,9,642.1,30.09,0.47,3.927,0.105,135.4,5.5,11.8,1.7,5322.9,551.1,5215,164,2.404,0.011,-0.24,0.3,1.11,0.15,10.95,0.65,1.15,0.15,11.14,0.67,1.12,0.15,11.0,0.66,2,
2706683,12.23,7,467.2,29.33,1.62,3.853,0.053,115.7,6.2,16.7,5.5,4128.4,722.5,4866,148,2.378,0.025,-0.12,0.3,1.0,0.18,10.71,0.7,0.97,0.18,10.53,0.68,1.0,0.18,10.72,0.7,2,
2708270,13.98,16,1276.1,14.35,0.44,1.986,0.019,314.5,29.0,5.8,0.8,51989.3,4106.2,4449,155,2.048,0.016,-0.34,0.3,1.45,0.17,18.86,0.8,1.27,0.15,17.67,0.75,1.41,0.17,18.59,0.79,0,
2708445,15.0,17,1308.6,60.62,0.59,6.095,0.015,98.1,4.3,20.7,1.5,503.5,123.6,4170,125,2.66,0.009000000000000001,-1.37,0.3,1.12,0.07,8.19,0.19,1.06,0.07,7.97,0.19,1.12,0.07,8.19,0.19,1,
2708803,9.44,17,1235.7,28.91,0.89,3.731,0.026,88.0,4.8,12.5,3.6,3727.2,274.3,4899,80,2.373,0.014,-0.49,0.15,1.1,0.12,11.3,0.42,1.0,0.11,10.77,0.4,1.11,0.12,11.34,0.42,2,
2709230,12.11,8,557.5,49.41,0.64,5.061,0.018000000000000002,63.7,7.1,12.1,1.5,2146.3,127.8,4943,152,2.608,0.01,-0.11,0.3,1.64,0.12,10.54,0.27,1.56,0.11,10.26,0.26,1.68,0.12,10.65,0.27,1,
2709587,13.58,18,1318.0,33.5,0.84,4.148,0.046,98.8,5.6,13.1,1.0,3837.6,315.3,5070,152,2.445,0.013,-0.18,0.3,1.18,0.12,10.77,0.42,1.18,0.12,10.79,0.42,1.19,0.12,10.81,0.43,2,
2709625,13.73,17,1308.6,36.63,0.73,4.273,0.031,100.4,4.6,14.7,1.2,2796.8,189.1,5064,155,2.483,0.012,-0.29,0.3,1.37,0.12,11.09,0.36,1.33,0.12,10.93,0.35,1.4,0.12,11.21,0.36,2,
2709877,12.85,17,1235.7,8.1,0.23,1.5419999999999998,0.07,316.8,28.8,4.2,1.2,138003.6,11544.6,4398,80,1.797,0.014,0.08,0.15,0.71,0.15,17.56,1.7,0.59,0.12,16.12,1.5,0.71,0.15,17.65,1.71,1,
2710002,13.68,15,1136.5,5.35,0.37,0.979,0.015,680.4,76.5,2.4,0.5,586591.9,72703.6,4001,80,1.597,0.031,0.33,0.15,1.09,0.24,27.45,2.14,0.92,0.2,25.26,1.96,1.06,0.24,27.13,2.12,1,
2710171,13.87,5,371.3,31.77,0.65,3.868,0.086,117.4,5.9,14.0,1.8,3790.0,548.8,4718,80,2.406,0.011,-0.14,0.15,1.19,0.14,11.34,0.59,1.07,0.12,10.74,0.54,1.19,0.14,11.32,0.58,2,
2710194,12.15,16,1221.2,59.05,0.55,5.9910000000000005,0.012,95.1,4.9,17.4,1.1,1168.2,64.5,4573,80,2.669,0.006999999999999999,0.23,0.15,1.27,0.07,8.65,0.17,1.15,0.06,8.21,0.16,1.28,0.07,8.66,0.17,1,
2710472,11.59,9,642.1,45.77,0.46,4.659,0.011,79.9,3.4,16.4,1.1,1189.2,79.9,4731,80,2.565,0.006999999999999999,0.02,0.15,1.7,0.09,11.27,0.22,1.56,0.08,10.78,0.21,1.73,0.09,11.35,0.23,1,
